A,C,D,E,F,G,H,I,J
4430,Max Jones,44738,6.87,2.1,0.7,Ontario,Pens & Art Supplies,0.57
4431,Mark Cousins,44768,3083.98,355.98,58.92,Ontario,Chairs & Chairmats,0.64
4432,Max Jones,44867,7360.43,500.98,26,Ontario,Chairs & Chairmats,0.6
4433,Gene McClure,45029,-633.44,262.11,62.74,Ontario,Tables,0.75
4434,Denny Joy,45543,-1615.59,70.89,89.3,Ontario,Tables,0.69
4435,Denny Joy,45635,731.72,43.98,1.99,Ontario,Computer Peripherals,0.44
4436,Odella Nelson,46436,840.05,35.99,0.99,Ontario,Telephones and Communication,0.35
4437,John Castell,46848,-67.68,95.43,19.99,Ontario,Storage & Organization,0.79
4438,Clytie Kelty,47009,-22.33,49.99,19.99,Ontario,Computer Peripherals,0.45
4439,Benjamin Patterson,47138,-506.31,125.99,8.99,Ontario,Telephones and Communication,0.59
4440,Michael Dominguez,47236,-45.43,70.97,3.5,Ontario,Appliances,0.59
4441,Michael Dominguez,47686,3.32,4.13,1.23,Ontario,Pens & Art Supplies,0.55
4442,Duane Benoit,47971,-53.06,4.95,5.32,Ontario,Office Furnishings,0.41
4443,Michael Dominguez,48261,-113.77,130.98,30,Ontario,Chairs & Chairmats,0.78
4444,Amy Cox,48773,3.27,7.04,2.17,Ontario,Paper,0.38
4445,Benjamin Patterson,48902,-28.88,6.48,7.49,Ontario,Paper,0.37
4446,Maureen Fritzler,49221,-15.42,17.98,8.51,Ontario,Office Machines,0.4
4447,Maureen Fritzler,49221,-103.28,6.48,6.57,Ontario,Paper,0.37
4448,Mark Cousins,49255,-102.3,70.98,26.85,Ontario,Bookcases,
4449,Kalyca Meade,49575,170.9,42.8,2.99,Ontario,Binders and Binder Accessories,0.36
4450,Michael Dominguez,50144,1765.54,120.98,9.07,Ontario,Binders and Binder Accessories,0.35
4451,Odella Nelson,50181,-246.21,135.99,28.63,Ontario,Chairs & Chairmats,0.76
4452,Hallie Redmond,52324,-224.35,180.98,30,Ontario,Chairs & Chairmats,0.69
4453,Lena Creighton,52896,3545.89,367.99,19.99,Ontario,Binders and Binder Accessories,0.4
4454,Lena Creighton,52896,77.02,4.13,0.5,Ontario,Labels,0.39
4455,Lena Creighton,52896,-969.05,400.98,76.37,Ontario,Tables,0.6
4456,Clytie Kelty,53441,84.34,48.04,5.79,Ontario,Paper,0.37
4457,Odella Nelson,53445,-44.33,11.66,8.99,Ontario,Pens & Art Supplies,0.59
4458,Odella Nelson,53445,11.23,3.29,1.35,Ontario,Rubber Bands,0.4
4459,Lena Creighton,54055,-1330.5,120.98,58.64,Ontario,Bookcases,0.75
4460,Amy Cox,54151,65.88,5.68,1.46,Ontario,Paper,0.39
4461,Amy Cox,54151,1.42,1.68,1,Ontario,Pens & Art Supplies,0.35
4462,Duane Benoit,54181,67.36,213.45,14.7,Ontario,Office Machines,0.59
4463,Amy Cox,54243,-634.73,154.13,69,Ontario,Tables,0.68
4464,Maureen Fritzler,54407,3857.57,420.98,19.99,Ontario,Binders and Binder Accessories,0.35
4465,Benjamin Patterson,55394,11.65,15.23,27.75,Ontario,Tables,0.76
4466,Katrina Willman,56003,-364.87,150.98,16.01,Ontario,Tables,0.7
4467,Hallie Redmond,56128,-49.66,22.99,8.99,Ontario,Pens & Art Supplies,0.57
4468,Hallie Redmond,56128,33.99,44.43,46.59,Ontario,Tables,0.67
4469,Steven Roelle,56384,-2172.14,4.48,49,Ontario,Appliances,0.6
4470,Steven Roelle,56384,-528.65,218.75,69.64,Ontario,Tables,0.77
4471,Duane Benoit,56646,1059.08,125.99,2.5,Ontario,Telephones and Communication,0.6
4472,Ken Brennan,56967,311.58,83.1,6.13,Ontario,Computer Peripherals,0.45
4473,Amy Cox,57479,54.78,3.75,0.5,Ontario,Labels,0.37
4474,Pete Takahito,57699,752.96,40.98,1.99,Ontario,Computer Peripherals,0.44
4475,Pete Takahito,57699,485.02,60.98,19.99,Ontario,Envelopes,0.38
4476,Pete Takahito,57699,-72.23,2.08,5.33,Ontario,Office Furnishings,0.43
4477,Kristen Hastings,58690,-1068.01,218.75,69.64,Ontario,Tables,0.77
4478,Kristen Hastings,58784,2372.08,350.99,39,Ontario,Chairs & Chairmats,0.55
4479,Kristen Hastings,58784,-67.38,15.99,9.4,Ontario,Office Machines,0.49
4480,Katrina Willman,59428,-728.18,100.98,45,Ontario,Chairs & Chairmats,0.69
4481,Katrina Willman,59428,-125.79,27.42,19.46,Ontario,Office Furnishings,0.44
4482,Noel Staavos,1444,181.98,30.98,8.74,Ontario,Paper,0.4
4483,Benjamin Venier,1921,541.47,328.14,91.05,Ontario,Appliances,0.57
4484,Katherine Murray,1985,4407.44,535.64,14.7,Ontario,Office Machines,0.59
4485,Alan Schoenberger,2978,947.31,200.99,4.2,Ontario,Telephones and Communication,0.59
4486,Mark Packer,7521,400.82,115.99,2.5,Ontario,Telephones and Communication,0.55
4487,Eric Barreto,11206,-17.03,49.99,19.99,Ontario,Computer Peripherals,0.41
4488,Karl Brown,13351,484.15,179.99,19.99,Ontario,Computer Peripherals,0.48
4489,Noel Staavos,13476,10.96,30.73,4,Ontario,Computer Peripherals,0.75
4490,Benjamin Venier,15399,969.86,125.99,4.2,Ontario,Telephones and Communication,0.59
4491,Benjamin Venier,15687,-892.79,70.98,46.74,Ontario,Bookcases,0.56
4492,Karl Brown,23169,346.54,80.98,7.18,Ontario,Computer Peripherals,0.48
4493,Ben Peterman,32292,-6.73,11.55,2.36,Ontario,Pens & Art Supplies,0.55
4494,Dave Poirier,32389,-257.41,65.99,8.8,Ontario,Telephones and Communication,0.58
4495,Aaron Hawkins,37863,23.12,10.98,3.37,Ontario,"Scissors, Rulers and Trimmers",0.57
4496,Rick Duston,40866,-236.6,300.65,24.49,Ontario,Appliances,0.52
4497,Alex Grayson,48263,37.5,5.68,1.21,Ontario,Paper,0.4
4498,Dianna Wilson,49989,-559.78,300.97,7.18,Ontario,Computer Peripherals,0.48
4499,Erica Hernandez,54595,6.79,8.34,2.64,Ontario,"Scissors, Rulers and Trimmers",0.59
4500,Christy Brittain,55392,40.2,6.47,1.22,Ontario,Pens & Art Supplies,0.4
4501,David Kendrick,57249,365.25,60.65,12.23,Ontario,Office Furnishings,0.64
4502,Noel Staavos,1444,1759.34,1360.14,14.7,Ontario,Office Machines,0.59
4503,Paul Lucas,4965,-186.31,5.78,7.96,Ontario,Paper,0.36
4504,Raymond Fair,5639,-71.95,15.31,8.78,Ontario,Storage & Organization,0.57
4505,Debra Catini,7297,-0.74,33.98,19.99,Ontario,Office Furnishings,0.55
4506,Fred McMath,8513,-43.03,17.98,8.51,Ontario,Office Machines,0.4
4507,Astrea Jones,10245,-896.94,122.99,70.2,Ontario,Chairs & Chairmats,0.74
4508,Fred McMath,11011,1383.32,240.98,60.2,Ontario,Bookcases,0.56
4509,Tracy Poddar,12320,11.65,15.23,27.75,Ontario,Tables,0.76
4510,Troy Staebel,12326,-0.37,29.34,57.87,Ontario,Office Furnishings,0.54
4511,Raymond Fair,13056,1413.52,100.98,7.18,Ontario,Computer Peripherals,0.4
4512,Alejandro Savely,13125,56.39,30.73,4,Ontario,Computer Peripherals,0.75
4513,Noel Staavos,17410,-203.68,8.45,7.77,Ontario,"Scissors, Rulers and Trimmers",0.55
4514,Troy Staebel,17953,-6.72,30.98,19.51,Ontario,Envelopes,0.36
4515,Chris Cortes,20711,-101.66,119.99,56.14,Ontario,Office Machines,0.39
4516,Troy Staebel,21606,-90.3,32.98,5.5,Ontario,Computer Peripherals,0.75
4517,Craig Yedwab,22820,-116.21,5.98,4.38,Ontario,Computer Peripherals,0.75
4518,Karl Brown,23169,-42.97,6.48,5.11,Ontario,Paper,0.37
4519,Alan Shonely,23522,-44.86,19.99,11.17,Ontario,Office Furnishings,0.6
4520,Becky Martin,23616,2787.59,199.99,24.49,Ontario,Copiers and Fax,0.46
4521,Katrina Willman,25092,95.91,5.84,1,Ontario,Pens & Art Supplies,0.38
4522,Tony Molinari,25157,52.74,5.84,1.2,Ontario,Pens & Art Supplies,0.55
4523,Stefania Perrino,25280,36.78,10.91,2.99,Ontario,Binders and Binder Accessories,0.38
4524,Karl Brown,25313,22.88,22.01,5.53,Ontario,Pens & Art Supplies,0.59
4525,Amy Cox,25536,71.55,9.93,1.09,Ontario,Pens & Art Supplies,0.43
4526,Hunter Lopez,25666,-37.85,12.21,4.81,Ontario,Storage & Organization,0.58
4527,Dianna Arnett,28001,2593.14,209.84,21.21,Ontario,Office Furnishings,0.59
4528,Giulietta Dortch,28999,420.05,33.98,1.99,Ontario,Computer Peripherals,0.45
4529,Dave Poirier,29666,-54.47,8.32,2.38,Ontario,Computer Peripherals,0.74
4530,Michael Kennedy,30599,33.47,4.76,0.88,Ontario,Paper,0.39
4531,Eleni McCrary,31232,-715.11,286.85,61.76,Ontario,Tables,0.78
4532,Eleni McCrary,31239,196.36,33.98,1.99,Ontario,Computer Peripherals,0.45
4533,George Zrebassa,31392,-1326.29,78.8,35,Ontario,Storage & Organization,0.83
4534,Dave Poirier,32389,11.65,15.23,27.75,Ontario,Tables,0.76
4535,Deanra Eno,33090,63.41,37.76,12.9,Ontario,Storage & Organization,0.57
4536,Sara Luxemburg,33987,-189.55,90.98,30,Ontario,Chairs & Chairmats,0.61
4537,Pierre Wener,37731,172.94,30.98,9.18,Ontario,Paper,0.4
4538,Tracy Poddar,38337,18.75,2.88,0.7,Ontario,Pens & Art Supplies,0.56
4539,Eric Barreto,38369,54.6,71.37,69,Ontario,Tables,0.68
4540,Pierre Wener,38723,-68.93,19.98,4,Ontario,Computer Peripherals,0.68
4541,Dan Campbell,39266,-500.35,60.98,49,Ontario,Appliances,0.59
4542,Amy Cox,40103,72.55,46.89,5.1,Ontario,Appliances,0.46
4543,Katherine Murray,40131,-119.31,9.06,9.86,Ontario,Paper,0.4
4544,Paul Knutson,41504,-30.2,15.51,5.8,Ontario,Storage & Organization,0.6
4545,Jennifer Patt,43588,-0.74,3.38,1.09,Ontario,Paper,0.39
4546,Michael Kennedy,43751,-130.96,15.14,4.53,Ontario,Storage & Organization,0.81
4547,Raymond Fair,44448,331.27,33.98,1.99,Ontario,Computer Peripherals,0.45
4548,Chuck Sachs,46531,-14.38,7.1,6.05,Ontario,Binders and Binder Accessories,0.39
4549,Chris Cortes,46534,5.55,99.99,19.99,Ontario,Office Machines,0.52
4550,Denise Leinenbach,47459,56.88,20.98,1.49,Ontario,Binders and Binder Accessories,0.35
4551,Amy Cox,48455,-29.29,9.99,6.24,Ontario,Office Machines,0.36
4552,Cathy Hwang,49056,-260.35,55.99,5,Ontario,Telephones and Communication,0.8
4553,Evan Henry,49190,-4.45,6.88,2,Ontario,Paper,0.39
4554,Brian Stugart,51783,244.13,48.04,5.79,Ontario,Paper,0.37
4555,Carlos Meador,52006,13.91,10.48,2.89,Ontario,Pens & Art Supplies,0.6
4556,Erica Hernandez,54595,-421.76,130.98,30,Ontario,Chairs & Chairmats,0.78
4557,Bobby Elias,55202,1620.23,155.99,8.99,Ontario,Telephones and Communication,0.58
4558,Kean Thornton,55431,777.28,289.53,19.99,Ontario,Appliances,0.56
4559,Alan Schoenberger,55713,-2426.55,122.99,70.2,Ontario,Chairs & Chairmats,0.74
4560,Daniel Raglin,57570,204.08,48.04,7.23,Ontario,Paper,0.37
4561,Brian Stugart,58372,4.34,2.21,1,Ontario,Pens & Art Supplies,0.38
4562,Pierre Wener,59552,-71.05,7.45,6.28,Ontario,Binders and Binder Accessories,0.4
4563,Grant Donatelli,2272,-513.79,212.6,52.2,Ontario,Tables,0.64
4564,Julie Prescott,6498,-40.76,8.12,2.83,Ontario,Computer Peripherals,0.77
4565,Cari MacIntyre,16260,-969.05,400.98,42.52,Ontario,Tables,0.71
4566,Grant Donatelli,16359,137.86,35.89,14.72,Ontario,Envelopes,0.4
4567,Grant Donatelli,16359,-39.07,3.34,7.49,Ontario,Pens & Art Supplies,0.54
4568,Jason Fortune,21922,2383.42,500.98,26,Ontario,Chairs & Chairmats,0.6
4569,Jason Fortune,21922,10.58,9.77,6.02,Ontario,Office Furnishings,0.48
4570,Jason Fortune,21922,8.07,3.28,0.98,Ontario,Pens & Art Supplies,0.59
4571,Julie Prescott,23558,-10.19,4.98,4.72,Ontario,Paper,0.36
4572,Julie Prescott,23558,24.3,31.76,45.51,Ontario,Tables,0.65
4573,Jason Fortune,27205,-43.65,7.28,3.52,Ontario,Computer Peripherals,0.68
4574,Candace McMahon,27461,51.23,2.88,0.5,Ontario,Labels,0.39
4575,Candace McMahon,27461,110.78,40.99,19.99,Ontario,Paper,0.36
4576,Dave Brooks,29957,576.39,48.04,7.23,Ontario,Paper,0.37
4577,Jim Karlsson,30593,-90.07,4.18,6.92,Ontario,Office Furnishings,0.49
4578,Jim Karlsson,30593,176.63,34.58,8.99,Ontario,Pens & Art Supplies,0.56
4579,Jim Karlsson,32871,-57.65,10.97,6.5,Ontario,Computer Peripherals,0.64
4580,Jim Karlsson,32871,179.05,145.45,17.85,Ontario,Office Machines,0.56
4581,Cari MacIntyre,35878,48.88,40.99,17.48,Ontario,Paper,0.36
4582,Philip Fox,37924,-80.53,17.99,8.65,Ontario,Pens & Art Supplies,0.57
4583,Candace McMahon,38400,28.08,13.73,6.85,Ontario,Office Furnishings,0.54
4584,Grant Carroll,38498,1070.18,115.79,1.99,Ontario,Computer Peripherals,0.49
4585,Grant Carroll,38498,-15.03,37.44,4.27,Ontario,Pens & Art Supplies,0.46
4586,Jason Fortune,39492,-564.06,40.48,19.99,Ontario,Computer Peripherals,0.77
4587,Jason Fortune,39492,-134.76,4.28,5.68,Ontario,Paper,0.4
4588,Philip Fox,39686,-473.66,328.14,91.05,Ontario,Appliances,0.57
4589,Philip Fox,39686,791.9,65.99,5.26,Ontario,Telephones and Communication,0.56
4590,Dave Brooks,42693,554.22,59.76,9.71,Ontario,Storage & Organization,0.57
4591,Julie Prescott,42850,141.28,29.99,5.5,Ontario,Computer Peripherals,0.51
4592,Julie Prescott,46050,-571.24,449.99,24.49,Ontario,Copiers and Fax,0.52
4593,Julie Prescott,46050,44.58,95.43,19.99,Ontario,Storage & Organization,0.79
4594,Grant Donatelli,46212,-1331.55,550.98,45.7,Ontario,Tables,0.71
4595,Grant Carroll,49313,-22.88,9.38,4.93,Ontario,Office Furnishings,0.57
4596,Grant Carroll,49313,574.16,35.99,1.25,Ontario,Telephones and Communication,0.36
4597,Grant Carroll,49477,-16.56,7.64,5.83,Ontario,Paper,0.36
4598,Philip Fox,49889,-50.21,11.5,7.19,Ontario,Binders and Binder Accessories,0.4
4599,Philip Fox,49889,-22.32,2.98,2.03,Ontario,Pens & Art Supplies,0.57
4600,Dave Brooks,52416,-16.95,7.64,5.83,Ontario,Paper,0.36
4601,Dave Brooks,52416,-528.65,218.75,69.64,Ontario,Tables,0.72
4602,Candace McMahon,55140,-84.19,11.7,6.96,Ontario,Appliances,0.5
4603,Frank Hawley,56550,166.85,19.98,5.77,Ontario,Paper,0.38
4604,Grant Carroll,57447,-60.4,8.46,3.62,Ontario,Computer Peripherals,0.61
4605,Grant Carroll,57447,-113.6,30.98,6.5,Ontario,Computer Peripherals,0.79
4606,Ionia McGrath,1185,20.03,55.48,14.3,New Brunswick,Paper,0.37
4607,Lori Olson,2149,21.21,9.38,4.93,New Brunswick,Office Furnishings,0.57
4608,Quincy Jones,2466,553.7,107.53,5.81,New Brunswick,Office Furnishings,0.65
4609,Patrick Jones,3493,1027.63,152.48,6.5,New Brunswick,Computer Peripherals,0.74
4610,Patrick Jones,3588,-1.16,8.67,3.5,New Brunswick,Appliances,0.58
4611,Patrick Jones,3588,-123.81,73.98,4,New Brunswick,Computer Peripherals,0.79
4612,Patrick Jones,3588,226.72,30.93,3.92,New Brunswick,Office Furnishings,0.44
4613,Patrick Jones,3588,326.56,90.97,14,New Brunswick,Office Machines,0.36
4614,Ionia McGrath,5957,-66.72,4.28,6.72,New Brunswick,Paper,0.4
4615,Ionia McGrath,5957,-258.8,150.98,66.27,New Brunswick,Bookcases,0.65
4616,Ionia McGrath,5957,-38.02,20.99,4.81,New Brunswick,Telephones and Communication,0.58
4617,Ionia McGrath,6183,951.5,48.94,5.86,New Brunswick,Paper,0.35
4618,Nathan Mautz,6402,-22.18,10.23,4.68,New Brunswick,"Scissors, Rulers and Trimmers",0.59
4619,Patrick Jones,6720,-93.71,5.18,5.74,New Brunswick,Binders and Binder Accessories,0.36
4620,Patrick Jones,6720,-1393.69,120.98,58.64,New Brunswick,Bookcases,0.75
4621,Patrick Jones,6720,17.63,6.3,0.5,New Brunswick,Labels,0.39
4622,Nathan Mautz,6785,80.32,25.38,8.99,New Brunswick,Office Furnishings,0.5
4623,Karen Seio,8295,158.18,35.99,1.1,New Brunswick,Telephones and Communication,0.55
4624,Karen Seio,8295,-295.43,125.99,2.5,New Brunswick,Telephones and Communication,0.6
4625,Quincy Jones,8704,198.83,9.93,1.09,New Brunswick,Pens & Art Supplies,0.43
4626,Quincy Jones,8704,5.48,2.21,1,New Brunswick,Pens & Art Supplies,0.38
4627,Ken Lonsdale,8834,2872.88,150.98,13.99,New Brunswick,Office Machines,0.38
4628,Lori Olson,8933,640.84,42.8,2.99,New Brunswick,Binders and Binder Accessories,0.36
4629,Lori Olson,8933,154.99,22.98,7.58,New Brunswick,Office Furnishings,0.51
4630,Ionia McGrath,9222,78.2,11.34,5.01,New Brunswick,Paper,0.36
4631,Patrick Gardner,10243,-44.08,1.98,4.77,New Brunswick,Binders and Binder Accessories,0.4
4632,Karen Seio,10502,1523.46,243.98,43.32,New Brunswick,Chairs & Chairmats,0.55
4633,Karen Seio,10502,182.72,25.38,8.99,New Brunswick,Office Furnishings,0.5
4634,Quincy Jones,10886,-112.92,1.74,4.08,New Brunswick,Office Furnishings,0.53
4635,Quincy Jones,10886,432.98,119.99,56.14,New Brunswick,Office Machines,0.39
4636,Ionia McGrath,11047,-528.09,68.81,60,New Brunswick,Appliances,0.41
4637,Ionia McGrath,11047,2271.68,550.98,64.59,New Brunswick,Tables,0.66
4638,Patrick Jones,12803,-21.15,12.21,4.81,New Brunswick,Storage & Organization,0.58
4639,Nona Balk,13767,-381.04,218.75,69.64,New Brunswick,Tables,0.72
4640,Nathan Mautz,14117,-1.5,1.14,0.7,New Brunswick,Rubber Bands,0.38
4641,Quincy Jones,14976,-81.86,4.98,4.7,New Brunswick,Paper,0.38
4642,Lori Olson,14980,325.88,31.78,1.99,New Brunswick,Computer Peripherals,0.42
4643,Erin Mull,16133,872.13,200.97,15.59,New Brunswick,Office Machines,0.36
4644,Nathan Mautz,16134,10521.33,500.98,28.14,New Brunswick,Office Machines,0.38
4645,Nona Balk,16258,-6.78,4.98,4.72,New Brunswick,Paper,0.36
4646,Nona Balk,16258,45.31,7.08,2.35,New Brunswick,Pens & Art Supplies,0.47
4647,John Lee,16289,96.95,12.22,2.85,New Brunswick,Office Furnishings,0.55
4648,Erin Mull,16993,-433.49,205.99,2.5,New Brunswick,Telephones and Communication,0.59
4649,John Lee,18945,168.54,16.48,1.99,New Brunswick,Computer Peripherals,0.42
4650,Emily Phan,19975,-83.96,11.7,6.96,New Brunswick,Appliances,0.5
4651,John Lee,20036,-31.55,11.97,4.98,New Brunswick,Appliances,0.58
4652,John Lee,20036,-25.23,26.31,5.89,New Brunswick,Computer Peripherals,0.75
4653,Patrick Gardner,20964,-120.09,65.99,8.99,New Brunswick,Telephones and Communication,0.58
4654,Erin Mull,21121,9373.96,387.99,19.99,New Brunswick,Binders and Binder Accessories,0.38
4655,Patrick Jones,21314,-20.39,8.6,6.19,New Brunswick,Binders and Binder Accessories,0.38
4656,Patrick Jones,21314,13.24,3.58,1.63,New Brunswick,Rubber Bands,0.36
4657,Patrick Jones,21314,-973.3,105.49,41.64,New Brunswick,Tables,0.75
4658,Nathan Mautz,21702,-1461.65,122.99,70.2,New Brunswick,Chairs & Chairmats,0.74
4659,Patrick Jones,21925,-339.95,77.51,4,New Brunswick,Computer Peripherals,0.76
4660,Ionia McGrath,22432,664.15,60.98,19.99,New Brunswick,Envelopes,0.38
4661,Patrick Jones,22819,-3.66,2.52,4.28,New Brunswick,Pens & Art Supplies,0.44
4662,Nathan Mautz,22917,-11769.17,3499.99,24.49,New Brunswick,Copiers and Fax,0.37
4663,Lori Olson,23107,-39.12,5.38,7.57,New Brunswick,Binders and Binder Accessories,0.36
4664,Patrick Gardner,23556,3302.03,363.25,19.99,New Brunswick,Appliances,0.57
4665,Emily Phan,23777,-67.54,31.98,6.72,New Brunswick,Storage & Organization,0.75
4666,Erin Mull,24098,46.31,4.82,1.49,New Brunswick,Binders and Binder Accessories,0.36
4667,Erin Mull,24098,-20.49,7.64,5.83,New Brunswick,Paper,0.36
4668,Erin Mull,24098,836.15,155.99,8.99,New Brunswick,Telephones and Communication,0.58
4669,Karen Seio,24227,424.64,85.99,2.79,New Brunswick,Telephones and Communication,0.58
4670,Ionia McGrath,24614,-52.92,50.98,6.5,New Brunswick,Computer Peripherals,0.73
4671,Erin Mull,25637,50.95,259.71,66.67,New Brunswick,Tables,0.61
4672,Justin Deggeller,26695,163.42,8.34,1.43,New Brunswick,Paper,0.35
4673,Nathan Mautz,27078,-40.76,6.48,5.86,New Brunswick,Paper,0.36
4674,Karen Seio,29376,569.08,155.06,7.07,New Brunswick,Storage & Organization,0.59
4675,Emily Phan,29766,27220.69,6783.02,24.49,New Brunswick,Office Machines,0.39
4676,Emily Phan,29766,1623.7,205.99,8.99,New Brunswick,Telephones and Communication,0.56
4677,Ionia McGrath,30278,832.62,65.99,5.26,New Brunswick,Telephones and Communication,0.56
4678,Nathan Mautz,30626,77.68,9.93,1.09,New Brunswick,Pens & Art Supplies,0.43
4679,Emily Phan,30851,-52.14,21.38,8.99,New Brunswick,Pens & Art Supplies,0.59
4680,Nona Balk,31718,168.46,65.99,7.69,New Brunswick,Telephones and Communication,0.59
4681,Nona Balk,31718,-115.3,65.99,8.99,New Brunswick,Telephones and Communication,0.6
4682,Patrick Jones,32070,-185.34,1.76,4.86,New Brunswick,Office Furnishings,0.41
4683,Nathan Mautz,34661,-175.47,33.98,19.99,New Brunswick,Office Furnishings,0.55
4684,Patrick Jones,34754,235.51,37.94,5.08,New Brunswick,Paper,0.38
4685,Erin Mull,35392,-50.2,6.48,9.68,New Brunswick,Paper,0.36
4686,Nathan Mautz,36103,-28.85,4.82,5.72,New Brunswick,Office Furnishings,0.47
4687,Nathan Mautz,36103,701.66,35.99,0.99,New Brunswick,Telephones and Communication,0.35
4688,Nathan Mautz,37157,-71.09,5.28,5.06,New Brunswick,Paper,0.37
4689,Nathan Mautz,38176,-79.08,5.28,5.57,New Brunswick,Paper,0.4
4690,Nathan Mautz,38176,74.75,9.11,2.25,New Brunswick,Pens & Art Supplies,0.52
4691,Ionia McGrath,38531,11.96,4.2,2.26,New Brunswick,Paper,0.36
4692,Patrick Jones,40354,12.55,5.58,2.99,New Brunswick,Binders and Binder Accessories,0.37
4693,Patrick Jones,40354,-93.16,212.6,52.2,New Brunswick,Tables,0.64
4694,Erin Mull,40832,122.78,20.24,6.67,New Brunswick,Office Furnishings,0.49
4695,Patrick Jones,41632,-238.16,55.99,5,New Brunswick,Telephones and Communication,0.83
4696,Patrick Gardner,41825,286.01,73.98,4,New Brunswick,Computer Peripherals,0.77
4697,Emily Phan,42373,22.96,10.91,2.99,New Brunswick,Binders and Binder Accessories,0.38
4698,Nona Balk,44423,-69.27,6.28,5.29,New Brunswick,Office Furnishings,0.43
4699,Patrick Jones,45863,-653.49,195.99,4.2,New Brunswick,Telephones and Communication,0.6
4700,Karen Seio,47078,34.1,4.91,0.5,New Brunswick,Labels,0.36
4701,Karen Seio,47078,77.04,6.04,2.14,New Brunswick,Paper,0.38
4702,Karen Seio,47078,-49.64,4.98,5.02,New Brunswick,Paper,0.38
4703,Patrick Gardner,47747,-138.51,2.08,5.33,New Brunswick,Office Furnishings,0.43
4704,Ionia McGrath,47810,-5.35,5.84,1.2,New Brunswick,Pens & Art Supplies,0.55
4705,Patrick Jones,48896,106.93,18.97,9.54,New Brunswick,Paper,0.37
4706,Ionia McGrath,49830,26.36,30.98,8.99,New Brunswick,Pens & Art Supplies,0.58
4707,Justin Deggeller,52389,-57.16,21.38,8.99,New Brunswick,Pens & Art Supplies,0.59
4708,Tony Sayre,52576,126.81,90.97,14,New Brunswick,Office Machines,0.36
4709,Karen Seio,53605,105.69,25.98,5.37,New Brunswick,Appliances,0.5
4710,Karen Seio,53605,886.35,170.98,35.89,New Brunswick,Bookcases,0.66
4711,Karen Seio,53605,-73.1,41.47,34.2,New Brunswick,Office Furnishings,0.73
4712,Nathan Mautz,53891,812.38,179.99,19.99,New Brunswick,Computer Peripherals,0.48
4713,Nathan Mautz,53891,-237.6,92.23,39.61,New Brunswick,Office Furnishings,0.67
4714,Nathan Mautz,53891,553.36,115.99,5.92,New Brunswick,Telephones and Communication,0.58
4715,Patrick Jones,55460,496.43,41.71,4.5,New Brunswick,Appliances,0.56
4716,Patrick Jones,55460,-10.45,5.34,2.99,New Brunswick,Binders and Binder Accessories,0.38
4717,Erin Mull,55877,52.94,3.08,0.99,New Brunswick,Labels,0.37
4718,Erin Mull,55877,-73.38,5.98,7.5,New Brunswick,Paper,0.4
4719,Tony Sayre,56647,-309.06,9.98,12.52,New Brunswick,Office Furnishings,0.57
4720,Tony Sayre,57475,-93.23,4.91,5.68,New Brunswick,Binders and Binder Accessories,0.36
4721,Tony Sayre,57475,-145.33,15.99,13.18,New Brunswick,Binders and Binder Accessories,0.37
4722,Tony Sayre,57475,-79.81,6.54,5.27,New Brunswick,Binders and Binder Accessories,0.36
4723,Tony Sayre,57475,-76.53,6.48,6.6,New Brunswick,Paper,0.37
4724,Patrick Jones,57537,-29.69,4.82,5.24,New Brunswick,Binders and Binder Accessories,0.39
4725,Patrick Jones,57537,888.62,100.97,7.18,New Brunswick,Computer Peripherals,0.46
4726,Patrick Jones,57537,-7.08,3.98,2.97,New Brunswick,Paper,0.35
4727,Patrick Jones,57698,-66.91,7.77,9.23,New Brunswick,Appliances,0.58
4728,Patrick Jones,57698,1127.31,363.25,19.99,New Brunswick,Appliances,0.57
4729,Patrick Jones,58241,38.63,4,1.3,New Brunswick,Paper,0.37
4730,Patrick Jones,58241,-95.3,12.88,4.59,New Brunswick,"Scissors, Rulers and Trimmers",0.82
4731,Keith Dawkins,96,1228.89,125.99,8.99,Manitoba,Telephones and Communication,0.55
4732,Joe Elijah,610,-29.21,6.68,5.41,Manitoba,Paper,0.37
4733,Sheri Gordon,612,-166.29,5.28,6.26,Manitoba,Paper,0.4
4734,Sheri Gordon,612,881.68,65.99,2.5,Manitoba,Telephones and Communication,0.55
4735,Stefanie Holloman,1440,52.47,17.67,8.99,Manitoba,Office Furnishings,0.47
4736,Ken Black,3749,140.15,12.97,1.49,Manitoba,Binders and Binder Accessories,0.35
4737,Joe Elijah,4070,237.75,28.48,1.99,Manitoba,Computer Peripherals,0.4
4738,Lindsay Williams,4774,-125.99,32.98,5.5,Manitoba,Computer Peripherals,0.75
4739,Logan Currie,6947,-51.01,51.65,18.45,Manitoba,Office Furnishings,0.65
4740,Keith Dawkins,6979,-1.44,11.99,5.99,Manitoba,Office Machines,0.36
4741,Steve Chapman,7107,143.08,54.2,11.1,Manitoba,Office Furnishings,0.64
4742,Steve Chapman,7107,-21.23,37.94,5.08,Manitoba,Paper,0.38
4743,Steve Chapman,7107,407.8,55.29,5.08,Manitoba,Storage & Organization,0.59
4744,Marc Crier,8288,407.12,59.78,10.29,Manitoba,Binders and Binder Accessories,0.39
4745,Ken Black,8678,27.12,29.74,6.64,Manitoba,Storage & Organization,0.7
4746,Dave Brooks,10659,-92.07,5.28,5.61,Manitoba,Paper,0.4
